Format Version,1.24,Take Name,take_006,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2025-01-21 10.09.47.521 ,Capture Start Frame,40254,Total Frames in Take,15053,Total Exported Frames,15053,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,base,base,base,base,base,base,chaser,chaser,chaser,chaser,chaser,chaser
,ID,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
132,6.600000,0.114782,-0.061198,0.420678,4489.463867,731.845215,1989.947266,-0.061259,0.477719,0.172842,3796.301270,1262.831909,2211.418213
133,6.650000,0.106311,-0.063881,0.415497,4489.470215,731.822388,1989.953979,-0.067727,0.479944,0.171219,3796.303223,1262.853271,2211.442383
134,6.700000,0.110447,-0.061470,0.424558,4489.463379,731.834595,1989.952637,-0.065312,0.483963,0.174318,3796.312988,1262.835205,2211.446289
135,6.750000,0.106901,-0.061392,0.423808,4489.458496,731.825317,1989.947510,-0.060527,0.486256,0.171041,3796.308105,1262.830322,2211.451172
136,6.800000,0.114607,-0.059873,0.426154,4489.452637,731.847534,1989.940796,-0.062200,0.483179,0.176232,3796.311035,1262.818970,2211.432861
137,6.850000,0.105740,-0.060197,0.422106,4489.459473,731.822083,1989.950439,-0.058901,0.483539,0.168800,3796.300781,1262.839355,2211.431885
138,6.900000,0.107400,-0.061327,0.420758,4489.460449,731.823914,1989.951538,-0.058817,0.478895,0.173670,3796.310791,1262.828857,2211.417725
139,6.950000,0.109601,-0.061301,0.423231,4489.461426,731.833862,1989.947510,-0.062367,0.477753,0.173576,3796.309570,1262.832031,2211.420898
140,7.000000,0.113585,-0.065568,0.420687,4489.471191,731.840698,1989.953369,-0.061136,0.478435,0.170458,3796.301758,1262.841675,2211.417725
141,7.050000,0.106546,-0.066076,0.416826,4489.471680,731.824768,1989.947632,-0.066734,0.475999,0.174182,3796.297852,1262.836914,2211.422363
142,7.100000,0.108833,-0.064216,0.419552,4489.468750,731.827271,1989.950317,-0.058679,0.477001,0.173580,3796.303955,1262.825806,2211.414062
